Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
JN252320.1	Human papillomavirus type 6	GenBank	set:JN252320		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV1667	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8029	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV1667, complete genome	HPV_6	Global	2009-07-01	JN252320_1|Global|HPV_6|PV1667|2009-07-01
JN252321.1	Human papillomavirus type 6	GenBank	set:JN252321		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV1732	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	8010	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV1732, complete genome	HPV_6	Global	2009-07-01	JN252321_1|Global|HPV_6|PV1732|2009-07-01
JN252322.1	Human papillomavirus type 6	GenBank	set:JN252322		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV1499	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV1499, complete genome	HPV_6	Global	2009-07-01	JN252322_1|Global|HPV_6|PV1499|2009-07-01
JN252323.1	Human papillomavirus type 6	GenBank	set:JN252323		Ure,A.E., Forslund,O., Dillner,J.	Malmo University Hospital Lund University, Department of Medical Microbiology	Sweden	2012-07-01	PV2702	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7996	complete	NA	1	Sweden	Sweden	Homo sapiens	larynx	2009			Human papillomavirus type 6 isolate PV2702, complete genome	HPV_6	Global	2009-07-01	JN252323_1|Global|HPV_6|PV2702|2009-07-01
HM999987.1	Human papillomavirus 135	GenBank	set:HM999987		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	NJ3500	Gammapapillomavirus 15	Gammapapillomavirus	Papillomaviridae	dsDNA	7293	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 135 isolate NJ3500, complete genome	HPV_135	Global	2009-07-01	HM999987_1|Global|HPV_135|NJ3500|2009-07-01
HM999988.1	Human papillomavirus 136	GenBank	set:HM999988		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	CL3865	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	dsDNA	7319	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 136 isolate CL3865, complete genome	HPV_136	Global	2009-07-01	HM999988_1|Global|HPV_136|CL3865|2009-07-01
HM999989.1	Human papillomavirus type 137	GenBank	set:HM999989		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	NJ2801H	Gammapapillomavirus 16	Gammapapillomavirus	Papillomaviridae	dsDNA	7236	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 137 isolate NJ2801H, complete genome	HPV_137	Global	2009-07-01	HM999989_1|Global|HPV_137|NJ2801H|2009-07-01
HM999992.1	Human papillomavirus 140	GenBank	set:HM999992		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	NJ2801C1	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	dsDNA	7341	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 140 isolate NJ2801C1, complete genome	HPV_140	Global	2009-07-01	HM999992_1|Global|HPV_140|NJ2801C1|2009-07-01
HM999993.1	Human papillomavirus 141	GenBank	set:HM999993		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	NJ2801Cn	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	dsDNA	7384	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 141 isolate NJ2801Cn, complete genome	HPV_141	Global	2009-07-01	HM999993_1|Global|HPV_141|NJ2801Cn|2009-07-01
HM999995.1	Human papillomavirus 143	GenBank	set:HM999995		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	CL3220	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	dsDNA	7715	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 143 isolate CL3220, complete genome	HPV_143	Global	2009-07-01	HM999995_1|Global|HPV_143|CL3220|2009-07-01
HM999996.1	Human papillomavirus type 144	GenBank	set:HM999996		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	CL3740	Gammapapillomavirus 17	Gammapapillomavirus	Papillomaviridae	dsDNA	7271	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 144 isolate CL3740, complete genome	HPV_144	Global	2009-07-01	HM999996_1|Global|HPV_144|CL3740|2009-07-01
HM999997.1	Human papillomavirus 145	GenBank	set:HM999997		Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.	Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology	USA	2012-06-01	CL4112	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	dsDNA	7375	complete	NA	1	USA	USA	Homo sapiens		2009			Human papillomavirus type 145 isolate CL4112, complete genome	HPV_145	Global	2009-07-01	HM999997_1|Global|HPV_145|CL4112|2009-07-01
JN644141.1	human papillomavirus 11	GenBank	set:JN644141		Yuan,H., Zhou,D., Wang,J., Schlegel,R., Liu,X.	Georgetown Medical Center, Pathology	USA	2012-03-07	GUMC-AJ	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	1	USA	USA	Homo sapiens	larynx	2010-12-03			Human papillomavirus type 11 isolate GUMC-AJ, complete genome	HPV_11	Global	2010-12-03	JN644141_1|Global|HPV_11|GUMC-AJ|2010-12-03
JN644142.1	human papillomavirus 11	GenBank	set:JN644142		Yuan,H., Liu,X., Wang,J., Zhou,D., Schlegel,R.	Georgetown Medical Center, Pathology	USA	2012-03-07	GUMC-AJ-Lung	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	10424	complete	NA	NA	USA	USA	Homo sapiens	lung	2010-12-03			Human papillomavirus type 11 isolate GUMC-AJ-Lung, complete genome	HPV_11	Global	2010-12-03	JN644142_1|Global|HPV_11|GUMC-AJ-Lung|2010-12-03
JF906559.1	Human papillomavirus 155	GenBank	set:JF906559		Ekstrom,J., Bzhalava,D., Svenback,D., Forslund,O., Dillner,J., Johansson,H., Faust,H., Nordin,P., Stenquist,B., Paoli,J., Persson,B.	Lund University, Dept of Laboratory Medicine	Sweden	2011-10-25	SE42	Gammapapillomavirus 7	Gammapapillomavirus	Papillomaviridae	dsDNA	7352	complete	NA	1	Sweden	Sweden	Homo sapiens		2009			Human papillomavirus 155 isolate SE42, complete genome	HPV_155	Global	2009-07-01	JF906559_1|Global|HPV_155|SE42|2009-07-01
HE574701.1	human papillomavirus 11	GenBank	set:HE574701		Gall,T., Kis,A., Feher,E., Gergely,L., Szarka,K.	to the INSDC. Szarka K., Department of Medical Microbiology, University of Debrecen, 98 Nagyerdei krt, H-4032	Hungary	2011-07-19	JO-RRP_1	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	Hungary:Eastern Hungary	Hungary	Homo sapiens	lesion_tumor	2000			Human papillomavirus type 11 complete genome, isolate JO-RRP_1	HPV_11	Global	2000-07-01	HE574701_1|Global|HPV_11|JO-RRP_1|2000-07-01
HE574702.1	human papillomavirus 11	GenBank	set:HE574702		Gall,T., Kis,A., Feher,E., Gergely,L., Szarka,K.	to the INSDC. Szarka K., Department of Medical Microbiology, University of Debrecen, 98 Nagyerdei krt, H-4032	Hungary	2011-07-19	JO-RRP_2	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	Hungary:Eastern Hungary	Hungary	Homo sapiens	lesion_tumor	2000			Human papillomavirus type 11 complete genome, isolate JO-RRP_2	HPV_11	Global	2000-07-01	HE574702_1|Global|HPV_11|JO-RRP_2|2000-07-01
HE574703.1	human papillomavirus 11	GenBank	set:HE574703		Gall,T., Kis,A., Feher,E., Gergely,L., Szarka,K.	to the INSDC. Szarka K., Department of Medical Microbiology, University of Debrecen, 98 Nagyerdei krt, H-4032	Hungary	2011-07-19	JO-RRP_3	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	Hungary:Eastern Hungary	Hungary	Homo sapiens	lesion_tumor	2000			Human papillomavirus type 11 complete genome, isolate JO-RRP_3	HPV_11	Global	2000-07-01	HE574703_1|Global|HPV_11|JO-RRP_3|2000-07-01
HE574704.1	human papillomavirus 11	GenBank	set:HE574704		Gall,T., Kis,A., Feher,E., Gergely,L., Szarka,K.	to the INSDC. Szarka K., Department of Medical Microbiology, University of Debrecen, 98 Nagyerdei krt, H-4032	Hungary	2011-07-19	JO-RRP_4	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7934	complete	NA	NA	Hungary:Eastern Hungary	Hungary	Homo sapiens	lesion_tumor	2000			Human papillomavirus type 11 complete genome, isolate JO-RRP_4	HPV_11	Global	2000-07-01	HE574704_1|Global|HPV_11|JO-RRP_4|2000-07-01
HE574705.1	human papillomavirus 11	GenBank	set:HE574705		Gall,T., Kis,A., Feher,E., Gergely,L., Szarka,K.	to the INSDC. Szarka K., Department of Medical Microbiology, University of Debrecen, 98 Nagyerdei krt, H-4032	Hungary	2011-07-19	JO-RRP_5	Alphapapillomavirus 10	Alphapapillomavirus	Papillomaviridae	dsDNA	7933	complete	NA	NA	Hungary:Eastern Hungary	Hungary	Homo sapiens	lesion_tumor	2000			Human papillomavirus type 11 complete genome, isolate JO-RRP_5	HPV_11	Global	2000-07-01	HE574705_1|Global|HPV_11|JO-RRP_5|2000-07-01
GU129016.1	Human papillomavirus 148	GenBank	set:GU129016		Kohler,A., Gottschling,M., Manning,K., Lehmann,M.D., Schulz,E., Kruger-Corcoran,D., Stockfleth,E., Nindl,I., Koehler,A., Bravo,I.G.	Charite - Universitaetsmedizin Berlin, Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC)	Germany	2010-12-31	34-60	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	dsDNA	7164	complete	NA	1	Germany	Germany	Homo sapiens		2006-01			Human papillomavirus type 148, complete genome	HPV_148	Global	2006-01-15	GU129016_1|Global|HPV_148|34-60|2006-01-15
HM011570.1	Human papillomavirus 127	GenBank	set:HM011570		Schowalter,R.M., Pastrana,D.V., Pumphrey,K.A., Moyer,A.L., Buck,C.B.	National Cancer Institute, NIH, Laboratory of Cellular Oncology	USA	2010-08-24	R3a	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	dsDNA	7181	complete	NA	1	USA	USA	Homo sapiens	skin	2009			Gammapapillomavirus HPV127 isolate R3a, complete genome	HPV_127	Global	2009-07-01	HM011570_1|Global|HPV_127|R3a|2009-07-01
HM057182.1	Human papillomavirus type 16	GenBank	set:HM057182		Barbosa Filho,R.A.A., Borborema Santos,C.M., Astolfi Filho,S.	Amazonas' Federal University, Biotechnology, Molecular Diagnostic's Lab	Brazil	2010-06-01	Amazonian	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7915	complete	NA	NA	Brazil	Brazil	Homo sapiens		2007-03			Human papillomavirus type 16 isolate Amazonian, complete genome	HPV_16	Global	2007-03-15	HM057182_1|Global|HPV_16|Amazonian|2007-03-15
GQ180784.1	human papillomavirus 18	GenBank	set:GQ180784		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU8	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU8, complete genome	HPV_18	Global	2008-07-01	GQ180784_1|Global|HPV_18|CU8|2008-07-01
GQ180785.1	human papillomavirus 18	GenBank	set:GQ180785		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU9	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU9, complete genome	HPV_18	Global	2008-07-01	GQ180785_1|Global|HPV_18|CU9|2008-07-01
GQ180786.1	human papillomavirus 18	GenBank	set:GQ180786		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU10	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU10, complete genome	HPV_18	Global	2008-07-01	GQ180786_1|Global|HPV_18|CU10|2008-07-01
GQ180787.1	human papillomavirus 18	GenBank	set:GQ180787		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU11	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7844	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU11, complete genome	HPV_18	Global	2008-07-01	GQ180787_1|Global|HPV_18|CU11|2008-07-01
GQ180788.1	human papillomavirus 18	GenBank	set:GQ180788		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU12	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU12, complete genome	HPV_18	Global	2008-07-01	GQ180788_1|Global|HPV_18|CU12|2008-07-01
GQ180789.1	human papillomavirus 18	GenBank	set:GQ180789		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU13	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU13, complete genome	HPV_18	Global	2008-07-01	GQ180789_1|Global|HPV_18|CU13|2008-07-01
GQ180790.1	human papillomavirus 18	GenBank	set:GQ180790		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU14	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU14, complete genome	HPV_18	Global	2008-07-01	GQ180790_1|Global|HPV_18|CU14|2008-07-01
GQ180791.1	human papillomavirus 18	GenBank	set:GQ180791		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU15	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU15, complete genome	HPV_18	Global	2008-07-01	GQ180791_1|Global|HPV_18|CU15|2008-07-01
GQ180792.1	human papillomavirus 18	GenBank	set:GQ180792		Lurchachaiwong,W., Junyangdikul,P., Termrungruanglert,W., Payungporn,S., Sampatanukul,P., Tresukosol,D., Niruthisard,S., Trivijitsilp,P., Karalak,A., Swangvaree,S., Poovorawan,Y.	Centre of Excellence in Clinical Virology	Thailand	2010-02-08	CU16	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7857	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 18 isolate CU16, complete genome	HPV_18	Global	2008-07-01	GQ180792_1|Global|HPV_18|CU16|2008-07-01
FJ947080.1	human papillomavirus 115	GenBank	set:FJ947080		Chouhy,D., Gorosito,M., Sanchez,A., Serra,E.C., Bergero,A., Fernandez Bussy,R., Giri,A.A.	Instituto de Biologia Molecular y Celular de Rosario - CONICET, Microbiologia	Argentina	2009-12-07	GC02	Betapapillomavirus 3	Betapapillomavirus	Papillomaviridae	dsDNA	7476	complete	NA	1	Argentina	Argentina	Homo sapiens	skin	2008			Human papillomavirus type 115 isolate GC02, complete genome	HPV_115	Global	2008-07-01	FJ947080_1|Global|HPV_115|GC02|2008-07-01
GQ472847.1	human papillomavirus 42	GenBank	set:GQ472847		Wu,X.L., Zhang,C.T., Zhu,X.K., Wang,Y.C., Wu,X., Zhang,C., Zhu,X., Wang,Y.	NICPBP, Cell	China	2009-10-06	TJ43-42	Alphapapillomavirus 1	Alphapapillomavirus	Papillomaviridae	dsDNA	7920	complete	NA	1	China	China	Homo sapiens		2007-11-06			Human papillomavirus type 42 isolate TJ43-42, complete genome	HPV_42	Global	2007-11-06	GQ472847_1|Global|HPV_42|TJ43-42|2007-11-06
GQ472848.1	human papillomavirus 52	GenBank	set:GQ472848		Wu,X.L., Zhang,C.T., Zhu,X.K., Wang,Y.C., Wu,X., Zhang,C., Zhu,X., Wang,Y.	NICPBP, Cell	China	2009-10-06	TJ49-52	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7960	complete	NA	1	China	China	Homo sapiens		2007-11-14			Human papillomavirus type 52 isolate TJ49-52, complete genome	HPV_52	Global	2007-11-14	GQ472848_1|Global|HPV_52|TJ49-52|2007-11-14
GQ472849.1	Human papillomavirus type 53	GenBank	set:GQ472849		Wu,X.L., Zhang,C.T., Zhu,X.K., Wang,Y.C., Wu,X., Zhang,C., Zhu,X., Wang,Y.	NICPBP, Cell	China	2009-10-06	TJ43-53	Alphapapillomavirus 6	Alphapapillomavirus	Papillomaviridae	dsDNA	7863	complete	NA	1	China	China	Homo sapiens		2007-11-06			Human papillomavirus type 53 isolate TJ43-53, complete genome	HPV_53	Global	2007-11-06	GQ472849_1|Global|HPV_53|TJ43-53|2007-11-06
GQ472850.1	human papillomavirus 58	GenBank	set:GQ472850		Wu,X.L., Zhang,C.T., Zhu,X.K., Wang,Y.C., Wu,X., Zhang,C., Zhu,X., Wang,Y.	NICPBP, Cell	China	2009-10-06	TJ18-58	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7824	complete	NA	1	China	China	Homo sapiens		2007-09-03			Human papillomavirus type 58 isolate TJ18-58, complete genome	HPV_58	Global	2007-09-03	GQ472850_1|Global|HPV_58|TJ18-58|2007-09-03
GQ472851.1	human papillomavirus 68	GenBank	set:GQ472851		Wu,X.L., Zhang,C.T., Zhu,X.K., Wang,Y.C., Wu,X., Zhang,C., Zhu,X., Wang,Y.	NICPBP, Cell	China	2009-10-06	TJ42-68	Alphapapillomavirus 7	Alphapapillomavirus	Papillomaviridae	dsDNA	7830	complete	NA	1	China	China	Homo sapiens		2007-11-06			Human papillomavirus type 68 isolate TJ42-68, complete genome	HPV_68	Global	2007-11-06	GQ472851_1|Global|HPV_68|TJ42-68|2007-11-06
FJ804072.1	Human papillomavirus 116	GenBank	set:FJ804072		Li,L., Barry,P., Yeh,E., Glaser,C., Schnurr,D., Delwart,E., Bernardin,F.	Blood Systems Research Institute	USA	2009-07-28	HPV116	Gammapapillomavirus 9	Gammapapillomavirus	Papillomaviridae	dsDNA	7184	complete	NA	1	USA	USA	Homo sapiens	feces	2008			Human papillomavirus type 116 strain HPV116, complete sequence	HPV_116	Global	2008-07-01	FJ804072_1|Global|HPV_116|HPV116|2008-07-01
FJ610146.1	Human papillomavirus type 16	GenBank	set:FJ610146		Lurchachaiwong,W., Junyangdikul,P., Payungporn,S., Chansaenroj,J., Sampathanukul,P., Tresukosol,D., Termrungruanglert,W., Theamboonlers,A., Poovorawan,Y.	Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University	Thailand	2009-07-05	CU1	Alphapapillomavirus 9	Alphapapillomavirus	Papillomaviridae	dsDNA	7906	complete	NA	1	Thailand	Thailand	Homo sapiens		2008			Human papillomavirus type 16 strain CU1, complete genome	HPV_16	Global	2008-07-01	FJ610146_1|Global|HPV_16|CU1|2008-07-01
